,location,total_sqft,bath,price,bhk
1, Devarachikkanahalli,1250.0,2.0,40.0,2
2, Devarachikkanahalli,1200.0,2.0,83.0,2
3, Devarachikkanahalli,1170.0,2.0,40.0,2
5, Devarachikkanahalli,947.0,2.0,43.0,2
6, Devarachikkanahalli,1130.0,2.0,36.0,2
8, Devarachikkanahalli,1230.0,2.0,58.0,2
10, Devarachikkanahalli,1116.0,2.0,47.0,2
11, Devarachikkanahalli,991.0,2.0,40.0,2
0, Devarachikkanahalli,1250.0,2.0,44.0,3
4, Devarachikkanahalli,1425.0,2.0,65.0,3
7, Devarachikkanahalli,1417.0,2.0,76.0,3
9, Devarachikkanahalli,1705.0,3.0,75.0,3
12, Devarachikkanahalli,1700.0,3.0,71.0,3
17,1st Block Jayanagar,1235.0,2.0,148.0,2
13,1st Block Jayanagar,2850.0,4.0,428.0,4
18,1st Block Jayanagar,2750.0,4.0,413.0,4
19,1st Block Jayanagar,2450.0,4.0,368.0,4
28,1st Phase JP Nagar,840.0,2.0,50.0,1
25,1st Phase JP Nagar,1394.0,2.0,100.0,2
26,1st Phase JP Nagar,1077.0,2.0,93.0,2
27,1st Phase JP Nagar,1566.0,2.0,180.0,2
31,1st Phase JP Nagar,1180.0,2.0,88.5,2
32,1st Phase JP Nagar,1200.0,2.0,86.0,2
33,1st Phase JP Nagar,1394.0,2.0,85.0,2
35,1st Phase JP Nagar,1205.0,2.0,85.0,2
37,1st Phase JP Nagar,900.0,2.0,75.0,2
21,1st Phase JP Nagar,1875.0,3.0,167.0,3
22,1st Phase JP Nagar,2065.0,4.0,210.0,3
23,1st Phase JP Nagar,2024.0,3.0,157.0,3
24,1st Phase JP Nagar,2059.0,3.0,225.0,3
29,1st Phase JP Nagar,1590.0,3.0,131.0,3
30,1st Phase JP Nagar,2180.0,3.0,210.0,3
34,1st Phase JP Nagar,2077.0,3.0,175.0,3
39,2nd Phase Judicial Layout,1150.0,2.0,40.25,2
42,2nd Phase Judicial Layout,900.0,2.0,41.0,2
45,2nd Phase Judicial Layout,1150.0,2.0,40.25,2
46,2nd Stage Nagarbhavi,1500.0,4.0,220.0,4
48,2nd Stage Nagarbhavi,1350.0,4.0,200.0,4
49,2nd Stage Nagarbhavi,1500.0,3.0,230.0,4
47,2nd Stage Nagarbhavi,3000.0,8.0,451.0,6
50,5th Block Hbr Layout,1206.0,2.0,56.0,2
52,5th Block Hbr Layout,1312.0,2.0,69.0,2
53,5th Block Hbr Layout,1100.0,2.0,48.0,2
51,5th Block Hbr Layout,1270.0,2.0,70.0,3
63,5th Phase JP Nagar,600.0,1.0,30.0,1
68,5th Phase JP Nagar,552.0,1.0,23.5,1
54,5th Phase JP Nagar,1075.0,2.0,60.0,2
55,5th Phase JP Nagar,1150.0,3.0,52.5,2
56,5th Phase JP Nagar,1256.0,2.0,62.8,2
57,5th Phase JP Nagar,1207.0,2.0,63.0,2
59,5th Phase JP Nagar,1440.0,2.0,60.0,2
64,5th Phase JP Nagar,1390.0,2.0,65.0,2
65,5th Phase JP Nagar,1256.0,2.0,62.8,2
66,5th Phase JP Nagar,1000.0,2.0,48.0,2
69,5th Phase JP Nagar,1200.0,2.0,51.0,2
73,5th Phase JP Nagar,1030.0,2.0,57.0,2
74,5th Phase JP Nagar,1200.0,2.0,68.0,2
75,5th Phase JP Nagar,1190.0,2.0,61.8,2
77,5th Phase JP Nagar,1080.0,2.0,53.0,2
78,5th Phase JP Nagar,1041.0,2.0,54.0,2
79,5th Phase JP Nagar,812.0,2.0,42.0,2
80,5th Phase JP Nagar,1010.0,2.0,57.0,2
82,5th Phase JP Nagar,1075.0,2.0,60.0,2
58,5th Phase JP Nagar,1725.0,2.0,100.0,3
60,5th Phase JP Nagar,1700.0,2.0,100.0,3
61,5th Phase JP Nagar,1485.0,2.0,67.0,3
67,5th Phase JP Nagar,1350.0,2.0,75.0,3
70,5th Phase JP Nagar,1240.0,3.0,60.0,3
71,5th Phase JP Nagar,1550.0,3.0,75.0,3
72,5th Phase JP Nagar,1485.0,2.0,66.0,3
81,5th Phase JP Nagar,1450.0,2.0,73.0,3
62,5th Phase JP Nagar,2500.0,5.0,110.0,5
76,5th Phase JP Nagar,4000.0,5.0,170.0,5
83,6th Phase JP Nagar,1192.0,2.0,74.0,2
84,6th Phase JP Nagar,1180.0,2.0,80.0,2
87,6th Phase JP Nagar,1140.0,2.0,65.0,2
89,6th Phase JP Nagar,1213.0,2.0,63.0,2
90,6th Phase JP Nagar,1216.0,2.0,60.0,2
91,6th Phase JP Nagar,1460.0,2.0,80.0,2
95,6th Phase JP Nagar,1192.0,2.0,75.0,2
96,6th Phase JP Nagar,1280.0,2.0,88.0,2
86,6th Phase JP Nagar,1645.0,3.0,100.0,3
88,6th Phase JP Nagar,2040.0,3.0,200.0,3
92,6th Phase JP Nagar,2003.0,3.0,200.0,3
93,6th Phase JP Nagar,1810.0,3.0,131.0,3
94,6th Phase JP Nagar,1515.0,2.0,135.0,3
189,7th Phase JP Nagar,750.0,1.0,47.0,1
191,7th Phase JP Nagar,1000.0,1.0,60.0,1
97,7th Phase JP Nagar,1080.0,2.0,72.0,2
98,7th Phase JP Nagar,1270.0,2.0,93.0,2
101,7th Phase JP Nagar,1245.0,2.0,94.0,2
102,7th Phase JP Nagar,1175.0,2.0,82.0,2
105,7th Phase JP Nagar,1050.0,2.0,71.0,2
106,7th Phase JP Nagar,1100.0,2.0,46.0,2
107,7th Phase JP Nagar,918.0,2.0,50.49,2
109,7th Phase JP Nagar,1190.0,2.0,49.98,2
112,7th Phase JP Nagar,980.0,2.0,69.0,2
113,7th Phase JP Nagar,1180.0,2.0,72.0,2
118,7th Phase JP Nagar,1270.0,2.0,83.0,2
129,7th Phase JP Nagar,1175.0,2.0,82.5,2
132,7th Phase JP Nagar,1215.0,2.0,90.0,2
133,7th Phase JP Nagar,1050.0,2.0,75.0,2
135,7th Phase JP Nagar,1130.0,2.0,73.0,2
138,7th Phase JP Nagar,1050.0,2.0,50.0,2
139,7th Phase JP Nagar,1275.0,2.0,87.0,2
